stage,lead_hours,flood_precision,flood_recall,flood_f1,flood_csi,flood_pod,flood_far,flood_roc_auc,flood_pr_auc
Baseline1_NWP_Weather,6,0.9879518072289156,0.7008547008547008,0.82,0.6949152542372882,0.7008547008547008,0.012048192771084338,0.9162512377713061,0.828099971528334
Baseline1_NWP_Weather,24,1.0,0.3062015503875969,0.4688427299703264,0.3062015503875969,0.3062015503875969,0.0,0.6545674823213514,0.4388712147918725
Baseline2_+Satellite,6,0.9764705882352941,0.7094017094017094,0.8217821782178217,0.6974789915966386,0.7094017094017094,0.023529411764705882,0.9230173154169738,0.8264758340123668
Baseline2_+Satellite,24,0.9759036144578314,0.313953488372093,0.4750733137829912,0.31153846153846154,0.313953488372093,0.024096385542168676,0.662411951594067,0.44847323751980384
Baseline3_+Radar,6,0.9764705882352941,0.7094017094017094,0.8217821782178217,0.6974789915966386,0.7094017094017094,0.023529411764705882,0.9167475627765977,0.8255996284247638
Baseline3_+Radar,24,0.975609756097561,0.31007751937984496,0.47058823529411764,0.3076923076923077,0.31007751937984496,0.024390243902439025,0.6598331448223859,0.4481590169989011
Proposed_minus_ThermoWind,6,0.9651162790697675,0.7094017094017094,0.8177339901477833,0.6916666666666667,0.7094017094017094,0.03488372093023256,0.9269781835964587,0.8296525783862653
Proposed_minus_ThermoWind,24,1.0,0.313953488372093,0.4778761061946903,0.313953488372093,0.313953488372093,0.0,0.6816371945892761,0.4229219710263702
Proposed_+Terrain+ThermoWind,6,0.9655172413793104,0.717948717948718,0.8235294117647058,0.7,0.717948717948718,0.034482758620689655,0.9163278761912408,0.8187472752957368
Proposed_+Terrain+ThermoWind,24,0.9879518072289156,0.3178294573643411,0.4809384164222874,0.3166023166023166,0.3178294573643411,0.012048192771084338,0.6751611538709114,0.4137350442352309
