stage,lead_hours,n_features,rain_mae,rain_rmse,rain_r2,rain_bias,rain_correlation,heavy_precision,heavy_recall,heavy_f1,heavy_csi,heavy_pod,heavy_far,heavy_roc_auc,heavy_pr_auc
Baseline1_NWP_Weather,1,17,0.5204985550755169,1.816646789801299,0.6841316447741138,-0.018331662010840806,0.8299595548269039,0.0,0.0,0.0,0.0,0.0,1.0,0.012537889225681997,0.0002754820936639118
Baseline1_NWP_Weather,3,17,1.2579939724068032,4.0810313617429,0.7402011840665433,-0.08647052405190303,0.8624210849751144,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.0,0.8522268326417703,0.5843488572884373
Baseline1_NWP_Weather,6,17,3.4284354350850514,10.079636214904381,0.4343156241929548,-0.36091641663988555,0.6616939776176226,0.6363636363636364,0.2,0.30434782608695654,0.1794871794871795,0.2,0.36363636363636365,0.760671567653487,0.322401656461278
Baseline2_+Satellite,1,27,0.4645751545643071,1.5486674546162067,0.770447793889479,-0.013574435240976943,0.8837419675915696,0.0,0.0,0.0,0.0,0.0,1.0,0.004271149076880698,0.0002754820936639118
Baseline2_+Satellite,3,27,1.113666501210332,3.7553443611105757,0.7800130908051711,-0.09875431202695142,0.8850134638333662,0.4117647058823529,0.4666666666666667,0.4375,0.28,0.4666666666666667,0.5882352941176471,0.8199815583218073,0.2617326178742924
Baseline2_+Satellite,6,27,3.314217658177144,9.917304384503305,0.4523895172994644,-0.35513759839524955,0.675131949001439,0.8461538461538461,0.3142857142857143,0.4583333333333333,0.2972972972972973,0.3142857142857143,0.15384615384615385,0.8403814822173654,0.37472368347685725
Baseline3_+Radar,1,33,0.4590736846396053,1.4922758961153153,0.7868607782136713,-0.00863942664690962,0.8893181592567901,0.0,0.0,0.0,0.0,0.0,1.0,0.004960044089280802,0.0002754820936639118
Baseline3_+Radar,3,33,1.112375106480839,3.748519417058962,0.7808119704210882,-0.09707771934936991,0.8859351151542175,0.5,0.4666666666666667,0.4827586206896552,0.3181818181818182,0.4666666666666667,0.5,0.8182019363762104,0.35450131360204584
Baseline3_+Radar,6,33,3.311263426075343,9.899648597510152,0.4543376046523203,-0.3698343664698347,0.6772008875438784,0.75,0.34285714285714286,0.47058823529411764,0.3076923076923077,0.34285714285714286,0.25,0.7627379296642162,0.36302036809701826
Proposed_minus_ThermoWind,1,38,0.46736711939982045,1.5357810746667875,0.7742520836397404,-0.010560385605160821,0.8878181486607184,0.0,0.0,0.0,0.0,0.0,1.0,0.004960044089280802,0.0002754820936639118
Proposed_minus_ThermoWind,3,38,1.0979165674729643,3.7153151062750585,0.7846778985456082,-0.11013600013729455,0.8909096772094284,0.5,0.3333333333333333,0.4,0.25,0.3333333333333333,0.5,0.8331396957123098,0.4028553546705035
Proposed_minus_ThermoWind,6,38,3.304057457474305,9.888142643966395,0.455605269371229,-0.39420633146519574,0.6816243950183861,0.6666666666666666,0.22857142857142856,0.3404255319148936,0.20512820512820512,0.22857142857142856,0.3333333333333333,0.7040572223326048,0.30057610345170194
Proposed_+Terrain+ThermoWind,1,66,0.37605118464246967,0.992685934404154,0.9056832420027606,0.0011827239204057975,0.9536024324612608,0.0,0.0,0.0,0.0,0.0,1.0,0.007853403141361237,0.0002754820936639118
Proposed_+Terrain+ThermoWind,3,66,1.0877812019726725,3.570694758643107,0.8011146678216001,-0.07626522339066448,0.9003825780223261,0.5,0.26666666666666666,0.34782608695652173,0.21052631578947367,0.26666666666666666,0.5,0.8893775933609959,0.4112573743129298
Proposed_+Terrain+ThermoWind,6,66,3.2120539099499488,9.627461665067102,0.4839306539033469,-0.3459240543848022,0.6996191971688448,0.6923076923076923,0.2571428571428571,0.375,0.23076923076923078,0.2571428571428571,0.3076923076923077,0.7022451818001192,0.3680271648421331
